Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1975","1975","t","26238419","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1976","1976","ha","21558886","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1976","1976","100 g/ha","14446","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1976","1976","t","31143200","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1977","1977","ha","21283876","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1977","1977","100 g/ha","14525","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1977","1977","t","30913834","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1978","1978","ha","19860058","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1978","1978","100 g/ha","12101","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1978","1978","t","24033646","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1979","1979","ha","20861400","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1979","1979","100 g/ha","13013","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1979","1979","t","27147322","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1980","1980","ha","21080553","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1980","1980","100 g/ha","15757","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1980","1980","t","33217492","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1981","1981","ha","19893608","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1981","1981","100 g/ha","16111","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1981","1981","t","32050567","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1982","1982","ha","21903982","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1982","1982","100 g/ha","15448","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1982","1982","t","33838263","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1983","1983","ha","18083861","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1983","1983","100 g/ha","16146","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1983","1983","t","29197566","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1984","1984","ha","19502145","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1984","1984","100 g/ha","16773","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1984","1984","t","32711289","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1985","1985","ha","19702168","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1985","1985","100 g/ha","18278","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1985","1985","t","36011139","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1986","1986","ha","22404844","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1986","1986","100 g/ha","16647","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1986","1986","t","37298400","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1987","1987","ha","23456712","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1987","1987","100 g/ha","18821","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1987","1987","t","44148398","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1988","1988","ha","23082577","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1988","1988","100 g/ha","18588","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1988","1988","t","42905037","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1989","1989","ha","21970521","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1989","1989","100 g/ha","19997","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1989","1989","t","43934410","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1990","1990","ha","18512400","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1990","1990","100 g/ha","17551","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1990","1990","t","32490390","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","1717","Cereals, primary","1991","1991","ha","19821126","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5419","Yield","1717","Cereals, primary","1991","1991","100 g/ha","18507","A","Official figure",""
"QCL","Crops and livestock products","21","Brazil","5510","Production","1717","Cereals, primary","1991","1991","t","36682063","A","Official figure",""
